customer_state,product_name_english,total_order_payment
PR,computers_accessories,138.74
PA,fashion_shoes,187.94
SP,perfumery,142.0
RJ,sports_leisure,280.65
PR,bed_bath_table,246.38
MA,telephony,51.14
SP,computers_accessories,71.85
GO,computers_accessories,212.43
SP,baby,168.08
RS,health_beauty,73.01
SP,bed_bath_table,128.45
SP,garden_tools,95.83
SP,perfumery,68.89
SP,housewares,159.31
SP,garden_tools,124.88
SP,bed_bath_table,235.13
SP,stationery,92.57
MG,stationery,213.43
SP,office_furniture,161.62
RJ,bed_bath_table,227.27
SP,cool_stuff,152.17
SP,computers_accessories,223.44
MG,stationery,115.92
SP,baby,41.75
MG,sports_leisure,98.09
PR,perfumery,78.8
MG,cool_stuff,45.48
RS,toys,81.2
MG,cool_stuff,41.84
SP,sports_leisure,91.77
SP,office_furniture,155.26
BA,furniture_decor,323.7
SP,kitchen_dining_laundry_garden_furniture,184.22
SP,garden_tools,63.27
GO,perfumery,150.05
MG,pet_shop,133.96
SP,baby,1005.81
MG,garden_tools,142.1
GO,auto,139.03
SP,electronics,20.29
MG,fashion_bags_accessories,138.39
SP,fashion_bags_accessories,46.92
RS,housewares,58.05
SC,bed_bath_table,93.28
SP,cool_stuff,77.06
BA,watches_gifts,89.58
BA,electronics,89.88
RS,bed_bath_table,78.19
RJ,toys,88.72
SP,computers_accessories,103.16
RS,market_place,305.7
SP,sports_leisure,230.86
SP,bed_bath_table,83.37
SP,watches_gifts,62.78
MG,pet_shop,29.1
MG,food,92.26
RS,bed_bath_table,89.36
SP,stationery,17.29
SP,bed_bath_table,112.09
RS,bed_bath_table,182.1
SP,auto,163.69
SP,bed_bath_table,173.72
RJ,watches_gifts,386.24
RJ,sports_leisure,109.42
SP,costruction_tools_garden,92.67
SP,housewares,33.62
RJ,bed_bath_table,83.42
MG,auto,134.58
SP,sports_leisure,90.99
RJ,consoles_games,71.29
CE,books_technical,153.17
SP,stationery,142.92
RS,home_appliances,55.11
RJ,computers_accessories,187.76
MG,telephony,32.09
SP,baby,32.61
ES,watches_gifts,163.89
SP,computers_accessories,47.13
MG,computers_accessories,87.39
SP,computers_accessories,56.22
PE,watches_gifts,131.43
SP,bed_bath_table,81.78
MT,consoles_games,379.08
RJ,computers_accessories,947.72
MG,sports_leisure,191.4
ES,watches_gifts,386.33
SP,no_name_given,251.33
MG,electronics,28.75
RJ,computers_accessories,257.79
SP,stationery,127.66
PR,furniture_decor,147.35
PI,baby,98.56
RJ,agro_industry_and_commerce,428.83
SC,health_beauty,79.1
SP,watches_gifts,76.39
MG,auto,600.43
RJ,telephony,65.22
RJ,construction_tools_construction,109.6
MG,luggage_accessories,158.13
MG,health_beauty,116.21
RJ,auto,86.93
RJ,garden_tools,135.08
PR,health_beauty,65.22
SP,watches_gifts,144.56
SP,art,69.65
SP,home_construction,63.58
SP,electronics,20.34
SP,health_beauty,127.91
PA,home_appliances,57.74
SP,home_appliances,139.82
MG,electronics,116.95
SP,sports_leisure,43.29
SP,housewares,161.37
MG,furniture_decor,251.76
GO,stationery,140.67
RJ,toys,179.26
SP,health_beauty,41.75
RJ,sports_leisure,473.83
RJ,watches_gifts,473.83
SP,garden_tools,73.34
SP,home_construction,131.71
SP,perfumery,71.88
PA,no_name_given,142.54
MS,computers_accessories,91.86
PR,health_beauty,51.31
SP,watches_gifts,179.22
SP,computers_accessories,40.85
SP,bed_bath_table,179.34
SP,small_appliances,570.98
SP,office_furniture,113.92
BA,watches_gifts,215.83
RJ,furniture_bedroom,186.18
RJ,toys,30.1
SP,garden_tools,70.89
RJ,electronics,27.75
RJ,baby,131.14
SP,housewares,282.07
SP,furniture_decor,246.99
SP,bed_bath_table,139.94
SP,health_beauty,153.1
SP,computers_accessories,101.74
SP,computers_accessories,92.83
SP,housewares,34.13
MG,auto,110.41
SP,bed_bath_table,72.66
SP,watches_gifts,42.78
SP,watches_gifts,129.32
SP,garden_tools,145.94
GO,costruction_tools_tools,107.22
SP,pet_shop,185.11
SC,fashion_sport,75.07
SP,auto,81.72
SP,baby,83.69
RJ,auto,121.8
SP,bed_bath_table,219.19
CE,computers_accessories,158.92
MG,health_beauty,40.66
SP,construction_tools_construction,67.54
BA,cool_stuff,165.24
RS,health_beauty,105.07
SP,computers_accessories,27.77
SP,fixed_telephony,31.84
MG,garden_tools,67.5
SP,fashion_bags_accessories,75.78
SP,watches_gifts,36.78
SP,sports_leisure,101.55
SP,sports_leisure,185.69
SP,books_imported,91.78
BA,sports_leisure,285.7
RJ,furniture_decor,115.71
SP,health_beauty,102.53
SP,electronics,36.68
SP,computers_accessories,166.71
RS,computers_accessories,98.33
RS,computers_accessories,94.3
MG,furniture_decor,60.1
MS,furniture_decor,268.4
SP,office_furniture,1071.12
SP,housewares,38.85
RJ,telephony,39.09
DF,health_beauty,76.37
RJ,computers_accessories,82.35
MG,bed_bath_table,223.93
MG,furniture_decor,223.93
PR,baby,225.6
PR,sports_leisure,225.6
CE,watches_gifts,193.0
RS,auto,34.1
SP,health_beauty,788.23
MS,baby,88.36
MG,health_beauty,46.09
RJ,toys,641.2
SP,telephony,25.77
SP,electronics,47.27
SP,bed_bath_table,93.91
RJ,auto,82.9
SP,consoles_games,36.11
SP,bed_bath_table,51.88
MG,housewares,270.66
MG,baby,270.66
SP,toys,117.31
SP,garden_tools,64.03
DF,health_beauty,126.74
RS,auto,43.22
RS,furniture_decor,107.02
RS,health_beauty,49.23
PR,garden_tools,43.47
MG,telephony,30.0
SP,toys,57.68
SP,no_name_given,108.53
RS,telephony,21.1
RJ,furniture_decor,81.99
ES,baby,67.6
SP,art,346.44
BA,health_beauty,140.88
RJ,perfumery,98.52
PR,small_appliances,373.13
RS,pet_shop,241.22
PE,housewares,140.05
SP,housewares,71.04
SP,computers_accessories,75.15
SP,housewares,58.86
SP,bed_bath_table,788.53
BA,computers_accessories,30.7
SP,books_imported,37.79
SP,musical_instruments,230.19
RS,housewares,110.7
BA,health_beauty,117.26
RJ,bed_bath_table,190.33
SP,pet_shop,298.79
SP,furniture_decor,370.72
BA,computers_accessories,194.89
PI,perfumery,62.3
MG,garden_tools,54.62
PA,sports_leisure,102.84
SP,auto,65.63
SP,electronics,48.93
RS,fixed_telephony,27.04
MS,perfumery,117.43
MG,bed_bath_table,53.42
MG,bed_bath_table,67.42
SP,bed_bath_table,81.78
SP,bed_bath_table,47.63
SP,furniture_decor,337.83
PR,health_beauty,75.07
SC,bed_bath_table,66.1
AL,computers_accessories,2269.98
SP,housewares,40.97
SP,auto,161.02
SP,drinks,69.2
MG,cool_stuff,77.66
ES,computers_accessories,73.15
MG,baby,588.14
MG,construction_tools_lights,588.14
SP,bed_bath_table,213.73
MA,auto,573.74
SP,cool_stuff,42.58
MG,construction_tools_lights,247.99
SP,health_beauty,38.01
SP,auto,2026.54
SP,housewares,39.32
SP,computers_accessories,181.33
SC,bed_bath_table,142.06
SP,housewares,448.51
SP,toys,82.82
RJ,bed_bath_table,190.33
SP,furniture_decor,81.78
RJ,computers_accessories,102.17
RJ,health_beauty,346.76
GO,telephony,42.0
RJ,cool_stuff,34.01
RJ,home_comfort_2,28.0
SP,furniture_decor,258.29
RJ,sports_leisure,58.3
BA,furniture_decor,98.08
RJ,watches_gifts,228.62
BA,sports_leisure,105.38
SC,sports_leisure,41.6
SP,furniture_decor,58.59
SP,health_beauty,319.43
RS,toys,146.66
RJ,air_conditioning,1642.54
MG,electronics,24.6
SP,health_beauty,154.34
MG,telephony,60.18
PE,stationery,103.51
SP,perfumery,177.44
PR,small_appliances,133.58
RJ,electronics,116.72
SP,telephony,29.95
RJ,telephony,56.69
MG,musical_instruments,76.51
GO,computers_accessories,47.68
SP,food,119.42
MG,telephony,32.09
DF,small_appliances,1355.73
RJ,toys,96.26
RS,baby,47.47
MS,home_construction,99.65
RS,health_beauty,34.23
ES,tablets_printing_image,66.11
RS,health_beauty,128.84
SP,stationery,73.49
RS,musical_instruments,221.47
SP,consoles_games,98.26
RJ,garden_tools,36.25
RS,furniture_living_room,109.07
PR,cool_stuff,117.94
MG,sports_leisure,70.14
MG,health_beauty,129.19
SP,health_beauty,55.04
RJ,food,81.17
SP,no_name_given,154.11
SP,watches_gifts,495.93
SP,sports_leisure,82.08
SP,auto,141.56
SP,fixed_telephony,86.58
DF,watches_gifts,74.51
RS,sports_leisure,69.05
DF,health_beauty,289.22
SP,furniture_decor,101.62
RS,watches_gifts,215.14
SP,signaling_and_security,262.59
SP,toys,162.55
RJ,pet_shop,100.3
PR,health_beauty,342.02
SP,perfumery,191.75
RJ,housewares,98.61
MG,kitchen_dining_laundry_garden_furniture,65.6
SC,office_furniture,378.02
PR,computers_accessories,104.37
RJ,toys,226.86
RJ,garden_tools,36.0
RJ,bed_bath_table,227.38
PA,auto,155.64
SP,pet_shop,82.92
MG,auto,49.72
GO,toys,106.78
DF,computers_accessories,163.24
BA,baby,265.6
AL,perfumery,77.84
SP,sports_leisure,59.82
SP,bed_bath_table,93.31
SP,toys,147.74
RJ,furniture_decor,192.0
SC,stationery,116.94
SP,computers_accessories,36.85
RS,housewares,137.98
SP,toys,54.36
SP,office_furniture,186.38
ES,health_beauty,76.65
ES,health_beauty,519.74
SP,furniture_decor,82.33
SP,consoles_games,36.35
SP,watches_gifts,111.35
SP,cool_stuff,101.79
SP,electronics,24.96
RJ,computers_accessories,85.58
SP,garden_tools,70.89
SP,auto,154.65
MG,cool_stuff,399.25
MG,housewares,399.25
DF,health_beauty,598.15
SP,housewares,39.81
SP,watches_gifts,804.33
RJ,cool_stuff,319.11
SP,computers_accessories,153.09
MA,auto,113.65
PR,computers_accessories,284.63
SP,telephony,40.85
SP,home_construction,157.89
DF,auto,55.28
RJ,toys,516.28
RS,bed_bath_table,89.36
MG,fashion_bags_accessories,68.13
MG,computers_accessories,286.64
DF,computers_accessories,37.58
PR,musical_instruments,264.07
ES,electronics,250.87
RJ,furniture_decor,399.99
RJ,furniture_decor,107.78
SP,bed_bath_table,53.99
SP,sports_leisure,21.39
CE,furniture_decor,198.0
CE,watches_gifts,209.01
SP,health_beauty,94.52
SP,housewares,46.62
PR,housewares,87.73
SP,health_beauty,22.7
ES,watches_gifts,134.49
MG,cool_stuff,975.44
SP,health_beauty,628.37
SC,health_beauty,77.66
SP,housewares,143.49
SP,bed_bath_table,180.04
SP,bed_bath_table,135.45
SP,furniture_decor,135.45
MT,garden_tools,121.05
SP,sports_leisure,76.64
RS,electronics,32.63
PE,furniture_decor,171.87
SE,books_imported,84.66
RS,consoles_games,359.97
RS,furniture_decor,279.98
SP,auto,2026.54
SP,auto,2026.54
PR,auto,44.28
SP,small_appliances,66.5
RJ,electronics,120.22
SP,health_beauty,99.43
RJ,perfumery,169.41
SP,health_beauty,37.37
PR,baby,155.19
PR,consoles_games,31.22
SP,home_appliances,732.68
RJ,baby,77.66
PA,sports_leisure,80.56
ES,watches_gifts,123.52
MS,sports_leisure,156.19
RJ,baby,129.91
SP,bed_bath_table,145.52
MG,bed_bath_table,168.29
SP,market_place,266.76
MG,health_beauty,222.04
BA,computers_accessories,44.92
SP,furniture_decor,178.32
ES,no_name_given,176.65
SP,sports_leisure,521.54
RJ,auto,873.86
SP,bed_bath_table,103.55
SP,fashion_bags_accessories,81.09
SP,computers_accessories,71.44
GO,bed_bath_table,224.9
RS,sports_leisure,205.26
DF,furniture_decor,86.63
SP,furniture_decor,72.66
SP,toys,50.01
ES,health_beauty,136.5
RJ,furniture_decor,180.85
RS,cool_stuff,81.15
RJ,watches_gifts,84.23
SP,health_beauty,128.85
MS,furniture_decor,132.59
SP,watches_gifts,56.85
GO,auto,94.43
MG,baby,67.6
SP,baby,155.63
PE,small_appliances,814.37
PE,sports_leisure,814.37
SP,perfumery,57.29
SP,fashion_male_clothing,67.24
MG,housewares,50.0
SP,consoles_games,55.28
RS,bed_bath_table,231.27
SP,furniture_decor,67.29
SP,watches_gifts,1415.66
MG,toys,68.62
SC,computers_accessories,192.49
SC,telephony,39.0
SP,health_beauty,138.92
SP,furniture_decor,79.29
RS,toys,49.0
SP,bed_bath_table,97.8
SP,sports_leisure,25.67
DF,bed_bath_table,55.46
SP,garden_tools,73.34
SP,sports_leisure,188.89
MG,housewares,111.81
SP,furniture_decor,48.13
PR,watches_gifts,223.01
SP,housewares,33.08
SP,perfumery,65.71
SP,office_furniture,157.73
RJ,construction_tools_lights,57.77
SP,bed_bath_table,59.85
SP,sports_leisure,59.14
RS,watches_gifts,51.01
SP,consoles_games,42.16
RS,bed_bath_table,188.34
SP,baby,936.52
PR,housewares,107.82
MG,perfumery,68.6
RJ,bed_bath_table,109.31
MG,cool_stuff,156.09
PI,cool_stuff,158.38
RJ,computers_accessories,29.22
SP,health_beauty,31.38
GO,watches_gifts,63.1
SP,telephony,35.77
RS,housewares,67.59
RO,no_name_given,103.68
RN,health_beauty,100.08
PR,health_beauty,76.65
RJ,baby,74.94
SP,health_beauty,86.4
SP,cool_stuff,217.64
SP,toys,65.22
SP,bed_bath_table,73.25
SP,bed_bath_table,130.3
SC,home_appliances_2,492.93
SP,consoles_games,188.6
SP,stationery,36.69
RN,computers_accessories,41.14
SP,home_appliances_2,177.93
SP,bed_bath_table,41.84
RJ,watches_gifts,219.5
SP,air_conditioning,83.3
PR,furniture_decor,181.76
SP,fashion_bags_accessories,56.78
MS,cool_stuff,378.83
SP,perfumery,168.41
SP,garden_tools,48.68
PA,health_beauty,96.55
RJ,health_beauty,93.39
PR,housewares,71.43
SP,housewares,65.32
RS,agro_industry_and_commerce,523.23
RJ,furniture_decor,39.82
PR,electronics,27.75
RJ,bed_bath_table,117.85
SP,computers_accessories,27.78
SP,perfumery,138.06
SP,perfumery,181.55
SP,perfumery,128.1
MG,computers,1240.85
RJ,watches_gifts,538.6
SP,auto,78.7
RJ,fashion_underwear_beach,68.13
RJ,garden_tools,67.5
PE,telephony,47.03
SP,perfumery,65.71
SP,stationery,65.35
BA,home_confort,25.25
RJ,baby,268.99
GO,sports_leisure,40.77
MG,construction_tools_construction,169.65
PR,fashion_male_clothing,85.14
SP,health_beauty,98.54
PR,sports_leisure,151.02
CE,health_beauty,97.64
SP,bed_bath_table,85.75
SP,auto,403.8
BA,home_construction,113.44
RJ,watches_gifts,143.75
SP,bed_bath_table,387.68
SP,cool_stuff,113.91
RJ,housewares,46.0
PB,electronics,47.05
SP,sports_leisure,43.27
MG,sports_leisure,256.0
ES,bed_bath_table,393.12
RS,furniture_decor,63.52
RS,garden_tools,77.57
MG,telephony,549.78
SP,health_beauty,94.92
SP,food,83.94
MG,construction_tools_construction,275.66
MG,health_beauty,95.99
RS,perfumery,351.18
SP,food,31.84
MG,watches_gifts,690.44
SP,telephony,114.44
RJ,computers_accessories,190.37
MG,health_beauty,121.32
SP,computers_accessories,46.71
MG,telephony,33.51
MG,baby,159.21
MG,sports_leisure,727.17
SP,garden_tools,73.34
RN,cool_stuff,138.24
SP,telephony,52.76
MG,computers_accessories,232.06
MG,computers_accessories,387.32
PE,furniture_decor,177.75
PE,bed_bath_table,177.75
BA,sports_leisure,94.12
ES,watches_gifts,90.29
CE,health_beauty,175.6
MG,computers_accessories,295.4
SP,baby,58.16
SP,home_appliances,45.23
MG,toys,96.71
SP,housewares,110.11
ES,computers_accessories,165.08
SP,small_appliances,77.88
SP,cine_photo,397.9
SP,cool_stuff,397.9
SP,telephony,397.9
PR,furniture_decor,139.5
SP,baby,59.34
RN,computers_accessories,51.14
SP,cool_stuff,73.43
MA,office_furniture,219.28
SC,cool_stuff,148.15
SP,stationery,102.64
SP,bed_bath_table,104.84
MG,home_confort,104.76
SP,sports_leisure,37.41
BA,telephony,28.76
RJ,food_drink,36.96
SP,books_general_interest,47.29
RJ,sports_leisure,76.76
SP,computers_accessories,108.79
SP,housewares,64.18
SP,home_confort,102.03
ES,furniture_living_room,155.82
SP,bed_bath_table,72.76
SP,cool_stuff,143.48
MG,fashion_bags_accessories,52.53
SP,health_beauty,661.26
SP,watches_gifts,188.89
MG,furniture_decor,379.0
SP,sports_leisure,275.52
SP,toys,45.86
RS,furniture_decor,321.58
SP,audio,262.13
BA,telephony,52.13
PA,stationery,158.3
PR,furniture_living_room,211.47
SP,housewares,38.69
SP,construction_tools_construction,90.05
SP,consoles_games,504.56
SP,sports_leisure,132.45
SP,industry_commerce_and_business,97.17
RJ,musical_instruments,209.79
MG,computers_accessories,115.43
SP,computers_accessories,99.55
RJ,baby,84.15
SP,electronics,70.59
PR,stationery,116.83
GO,baby,913.7
SP,health_beauty,29.78
MG,auto,455.71
SP,furniture_decor,32.86
SP,audio,27.68
BA,auto,35.79
PR,bed_bath_table,47.13
SP,toys,91.44
SE,perfumery,80.77
MG,pet_shop,43.1
RS,pet_shop,136.6
BA,sports_leisure,234.34
AM,electronics,40.85
SP,computers_accessories,472.63
RJ,electronics,241.69
SP,housewares,66.17
SP,housewares,33.24
RS,housewares,212.16
MG,computers_accessories,42.38
MG,sports_leisure,126.57
CE,stationery,40.26
RS,perfumery,274.02
SP,watches_gifts,193.81
MG,luggage_accessories,142.54
RJ,toys,122.75
SP,telephony,37.77
RS,market_place,202.62
SP,no_name_given,20.38
SP,sports_leisure,53.5
MG,sports_leisure,85.79
MG,watches_gifts,73.49
SP,musical_instruments,112.5
SP,bed_bath_table,55.24
RJ,furniture_decor,121.85
RJ,furniture_decor,74.05
RS,health_beauty,138.64
SP,baby,70.02
SP,computers_accessories,127.6
MG,perfumery,267.49
RJ,sports_leisure,42.62
MG,electronics,84.14
SP,fashion_bags_accessories,61.75
MG,perfumery,224.8
RS,health_beauty,129.19
SP,health_beauty,55.04
SP,health_beauty,30.1
SP,housewares,74.76
MG,furniture_decor,133.58
SP,bed_bath_table,61.8
MG,housewares,41.42
MG,perfumery,292.45
PR,perfumery,117.57
RS,books_general_interest,58.41
SP,computers_accessories,162.44
MG,sports_leisure,129.86
SP,health_beauty,129.66
PR,bed_bath_table,86.05
PR,bed_bath_table,91.78
RJ,sports_leisure,128.24
SP,garden_tools,121.04
MA,computers_accessories,237.61
RS,baby,596.64
RJ,perfumery,64.0
MG,bed_bath_table,244.22
SC,bed_bath_table,72.56
SP,sports_leisure,43.94
SP,furniture_decor,589.92
SP,computers_accessories,44.0
SP,perfumery,21.1
SP,telephony,75.36
RJ,bed_bath_table,102.37
RJ,computers_accessories,87.1
SP,perfumery,236.86
MG,drinks,66.81
SP,baby,446.82
MG,cool_stuff,157.35
SP,furniture_living_room,57.84
SP,computers_accessories,54.09
SP,watches_gifts,43.72
SP,bed_bath_table,114.91
SP,food,69.77
CE,perfumery,142.55
SP,perfumery,114.77
RJ,bed_bath_table,89.82
SP,sports_leisure,55.1
SP,perfumery,161.26
SP,watches_gifts,762.14
SP,watches_gifts,118.11
BA,sports_leisure,143.67
SP,home_appliances,63.82
SP,agro_industry_and_commerce,432.36
SP,health_beauty,83.7
PE,bed_bath_table,127.32
MG,computers_accessories,39.23
SP,perfumery,21.77
MG,auto,31.1
BA,furniture_decor,109.77
MG,telephony,253.93
MA,cool_stuff,138.24
SP,watches_gifts,158.52
SP,garden_tools,146.68
SP,small_appliances,117.93
RJ,toys,75.65
RS,bed_bath_table,201.15
PA,furniture_decor,369.61
RJ,baby,226.28
SP,perfumery,42.4
RJ,electronics,244.5
MG,housewares,289.34
MA,toys,79.05
BA,health_beauty,107.07
BA,health_beauty,107.07
SC,toys,71.71
SP,bed_bath_table,64.56
SC,health_beauty,116.44
PR,housewares,102.83
MG,watches_gifts,110.0
SP,cool_stuff,56.01
AM,sports_leisure,142.27
SP,health_beauty,111.85
RS,garden_tools,269.12
RJ,home_appliances,45.32
RJ,housewares,35.0
SP,stationery,41.78
RS,bed_bath_table,71.53
RR,computers_accessories,55.87
RS,baby,199.27
SP,perfumery,229.2
MT,furniture_decor,69.85
SP,housewares,32.99
SC,perfumery,147.59
RS,food,101.17
RS,health_beauty,65.43
RS,stationery,116.94
PR,pet_shop,137.28
SP,watches_gifts,51.39
SP,health_beauty,22.36
SP,health_beauty,22.36
SP,bed_bath_table,113.62
MG,home_construction,484.85
SP,watches_gifts,181.78
PE,office_furniture,318.13
RJ,telephony,43.09
SP,no_name_given,90.76
RJ,watches_gifts,114.27
SP,housewares,513.9
RJ,garden_tools,368.6
RJ,garden_tools,66.67
PR,garden_tools,156.22
MG,housewares,305.34
SP,computers_accessories,44.35
PI,cool_stuff,87.95
BA,cool_stuff,92.73
SP,sports_leisure,119.25
SP,health_beauty,32.39
SP,health_beauty,49.45
SP,telephony,23.68
RJ,cool_stuff,148.15
SC,auto,79.68
RJ,bed_bath_table,97.2
RS,consoles_games,90.81
SP,health_beauty,64.91
BA,housewares,78.56
MG,small_appliances,88.45
SP,furniture_living_room,44.1
MG,housewares,25.09
SP,telephony,236.48
MG,bed_bath_table,95.3
SP,air_conditioning,768.59
SP,perfumery,65.71
PA,sports_leisure,336.9
SP,telephony,52.38
RJ,housewares,111.64
RJ,sports_leisure,111.64
SC,bed_bath_table,70.95
DF,pet_shop,138.56
SP,sports_leisure,601.55
RJ,health_beauty,135.49
SP,home_appliances,129.53
SP,bed_bath_table,83.79
RJ,bed_bath_table,251.06
MG,sports_leisure,50.72
MG,cool_stuff,117.94
RJ,furniture_decor,442.11
RJ,perfumery,358.82
RJ,computers_accessories,190.37
ES,perfumery,139.29
MG,computers_accessories,177.49
MG,perfumery,148.06
SP,furniture_decor,88.08
SP,health_beauty,99.45
SP,cool_stuff,159.02
MG,watches_gifts,189.07
PR,bed_bath_table,96.29
SP,perfumery,68.89
PA,auto,517.03
SP,baby,187.34
SP,bed_bath_table,30.96
SC,health_beauty,65.09
SP,health_beauty,108.88
SP,baby,156.82
SP,health_beauty,34.86
CE,computers,1341.45
SP,pet_shop,106.77
SP,perfumery,68.0
SP,furniture_decor,137.27
SP,housewares,108.37
RJ,books_general_interest,47.0
BA,health_beauty,103.15
MG,sports_leisure,228.72
SC,telephony,43.27
MG,housewares,94.68
MG,small_appliances,620.15
SP,bed_bath_table,246.42
SP,bed_bath_table,152.66
SP,furniture_living_room,152.66
RJ,electronics,215.14
PR,health_beauty,100.96
MT,bed_bath_table,150.16
MT,bed_bath_table,75.08
SP,housewares,252.35
SP,furniture_decor,593.77
MS,computers_accessories,138.74
PR,sports_leisure,259.82
SP,books_general_interest,33.19
MG,auto,31.2
MG,toys,35.09
SP,sports_leisure,243.92
RJ,telephony,170.75
DF,fashion_bags_accessories,42.4
BA,health_beauty,672.82
RS,bed_bath_table,116.94
RJ,garden_tools,57.9
SP,bed_bath_table,193.84
SP,perfumery,201.37
RJ,housewares,65.2
MG,luggage_accessories,68.3
RJ,toys,52.73
RS,luggage_accessories,29.73
SP,garden_tools,225.71
RJ,pet_shop,59.11
PA,cool_stuff,263.79
PA,baby,263.79
GO,bed_bath_table,68.13
PR,pet_shop,50.09
MG,telephony,40.22
SP,garden_tools,72.43
SP,health_beauty,22.86
MG,sports_leisure,111.84
PE,housewares,141.19
MG,telephony,48.3
RS,housewares,40.77
RS,furniture_decor,69.9
PR,small_appliances,208.08
RJ,home_confort,63.01
SP,construction_tools_construction,286.12
SP,pet_shop,59.43
RJ,electronics,27.3
MG,bed_bath_table,100.31
RJ,health_beauty,400.1
DF,baby,52.22
MG,watches_gifts,153.72
PE,watches_gifts,200.76
PE,sports_leisure,161.18
SC,sports_leisure,24.42
SP,perfumery,65.71
SP,pet_shop,40.11
RJ,computers_accessories,46.0
PE,fashion_shoes,187.41
SP,bed_bath_table,57.72
DF,construction_tools_construction,323.39
RJ,furniture_decor,76.76
RJ,housewares,62.5
SP,bed_bath_table,139.09
SP,health_beauty,100.41
SP,telephony,38.39
RJ,telephony,45.22
SP,consoles_games,29.73
MG,pet_shop,266.84
MG,pet_shop,80.89
MG,pet_shop,170.29
RS,garden_tools,91.23
SP,cool_stuff,139.22
PE,baby,105.01
RJ,housewares,60.01
RJ,health_beauty,65.09
RS,garden_tools,215.56
RS,housewares,215.56
SP,market_place,396.9
MS,furniture_decor,343.9
SP,housewares,308.95
RJ,auto,46.13
SP,fashion_bags_accessories,67.68
SP,furniture_living_room,520.02
MG,furniture_decor,55.1
SP,bed_bath_table,76.31
RS,books_general_interest,102.49
DF,health_beauty,195.93
SP,office_furniture,198.96
PR,computers_accessories,56.0
SP,consoles_games,532.55
SP,toys,246.36
ES,toys,107.78
MG,electronics,28.88
RJ,computers_accessories,171.0
MG,stationery,106.87
SP,baby,208.88
SP,furniture_decor,96.7
RS,telephony,32.09
SP,office_furniture,175.5
SP,furniture_decor,109.85
SP,watches_gifts,101.35
SP,toys,118.0
DF,small_appliances,186.57
DF,watches_gifts,335.89
SP,bed_bath_table,103.55
SP,baby,138.32
RS,sports_leisure,235.06
SP,health_beauty,84.28
SP,toys,91.96
ES,perfumery,68.12
MT,stationery,188.66
RJ,health_beauty,183.04
RS,bed_bath_table,134.05
MS,fashion_bags_accessories,64.0
MS,cool_stuff,145.66
RJ,small_appliances,65.6
SP,bed_bath_table,113.96
SP,sports_leisure,69.16
ES,health_beauty,125.97
SP,sports_leisure,45.34
SP,computers_accessories,71.84
CE,electronics,57.62
MT,computers_accessories,207.27
PB,construction_tools_construction,280.84
SP,sports_leisure,18.78
RJ,computers_accessories,189.37
RJ,garden_tools,77.57
PR,bed_bath_table,90.32
RJ,sports_leisure,175.41
RJ,sports_leisure,292.98
RS,fashion_bags_accessories,266.5
CE,telephony,47.03
PR,garden_tools,1246.9
MT,telephony,391.08
RJ,perfumery,66.13
RS,garden_tools,153.32
SP,bed_bath_table,113.71
RJ,auto,300.06
SP,cool_stuff,264.04
MG,auto,24.73
